City,Start Date,End Date,NDVI
"Tucson, AZ",2020-05-04,2020-05-04,0.9870238513685763
"New York City, NY",2020-05-04,2020-05-18,0.9854339876910672
"Oklahoma City, OK",2020-05-04,2020-05-04,0.9894215911626816
"Tempe, AZ",2020-05-04,2020-05-04,0.98750329320319
"Arlington, TX",2020-05-04,2020-05-04,0.9897586922161281
"Oakland, CA",2020-05-04,2020-05-04,0.9885925417765975
"Sacramento, CA",2020-05-04,2020-05-04,0.9901903532445431
"Columbus, OH",2020-05-04,2020-05-04,0.9913055198267102
"Austin, TX",2020-05-04,2020-05-04,0.9905817210674286
"San Jose, CA",2020-05-04,2020-05-04,0.9887466528452933
"Dallas, TX",2020-05-04,2020-05-04,0.9890023930929601
"Boston, MA",2020-05-04,2020-05-04,0.9863084031967446
"San Antonio, TX",2020-05-04,2020-05-04,0.9896518727764487
"Phoenix, AZ",2020-05-04,2020-05-04,0.9869073857553303
"San Francisco, CA",2020-05-04,2020-05-04,0.9855412784963846
"Fort Worth, TX",2020-05-04,2020-05-04,0.9897292125970125
"Colorado Springs, CO",2020-05-18,2020-05-18,0.9886863138526678
"Albuquerque, NM",2020-05-18,2020-05-18,0.987237649038434
"New York City, NY",2020-05-18,2020-06-01,0.9861626649508253
"Denver, CO",2020-05-18,2020-05-18,0.9887123391963542
"Houston, TX",2020-05-18,2020-05-18,0.9893241170793772
"El Paso, TX",2020-05-18,2020-05-18,0.9861839291406795
"Phoenix, AZ",2020-06-01,2020-06-01,0.9867089316248894
"Nashville, TN",2020-06-01,2020-06-01,0.9903317610733211
"Portland, OR",2020-06-01,2020-06-01,0.9910860382951796
"Mesa, AZ",2020-06-01,2020-06-01,0.9872591523453593
"Tempe, AZ",2020-06-01,2020-06-01,0.9871608458925039
"New York City, NY",2020-06-15,2020-06-29,0.9856730224564672
"Bakersfield, CA",2020-06-15,2020-06-15,0.9874570707324892
"Colorado Springs, CO",2020-06-15,2020-06-15,0.9895026385784149
"Houston, TX",2020-06-15,2020-06-15,0.9880017244722694
"Albuquerque, NM",2020-06-15,2020-06-15,0.9870510767214
"Austin, TX",2020-06-15,2020-06-15,0.9888843582011759
"Kansas City, MO",2020-06-15,2020-06-15,0.9897760036401451
"New York City, NY",2020-06-29,2020-07-13,0.9850023157778196
"Milwaukee, WI",2020-06-29,2020-06-29,0.9864766807295382
"Virginia Beach, VA",2020-06-29,2020-06-29,0.9927809527143836
"Las Vegas, NV",2020-06-29,2020-06-29,0.9862401199061424
"Philadelphia, PA",2020-06-29,2020-06-29,0.985804597614333
"Baltimore, MD",2020-06-29,2020-06-29,0.9887070255354047
"San Antonio, TX",2020-07-13,2020-07-13,0.9892705217935145
"Dallas, TX",2020-07-13,2020-07-13,0.9889720985665917
"Austin, TX",2020-07-13,2020-07-13,0.9902654024772346
"Fort Worth, TX",2020-07-13,2020-07-13,0.989927526563406
"Sacramento, CA",2020-07-13,2020-07-13,0.989262584131211
"Atlanta, GA",2020-07-13,2020-07-13,0.9899244070984423
"Omaha, NE",2020-07-13,2020-07-13,0.9894589050672948
"Arlington, TX",2020-07-13,2020-07-13,0.9909308278001845
"Wichita, KS",2020-07-13,2020-07-13,0.9905076096765697
"New York City, NY",2020-07-13,2020-07-27,0.9860981253441423
"Kansas City, MO",2020-07-13,2020-07-13,0.9899909729138017
"Tampa, FL",2020-07-27,2020-07-27,0.9883372029289603
"Bakersfield, CA",2020-07-27,2020-07-27,0.9874494415707886
